w_rmse,w_log_rmse,subspace_similarity,tv_score,hellinger_score,gene_topk_hit_mean,f1_tau90,jaccard_tau90,H_corr,H_corr_spearman,sigma2_age_rmse,sigma2_age_log_rmse,tau2_spa_rmse,tau2_spa_log_rmse,sigma2_e_abs_err,sigma2_e_log_abs_err,align_cost,method,rep
0.03441233438934016,-3.3693402210396255,0.12552066614044,0.5284767026777741,0.4468881803324474,0.5452380952380953,0.4696969696965181,0.35132575757575757,-0.11423652328743598,-0.1421845988931854,,,,,,,0.0011646409683440345,SpatialPCA,1
0.029554010623166163,-3.521535821051407,0.21206293424436162,0.581079529465735,0.5718275051485895,0.5833333333333334,0.574494949494469,0.49166666666666664,0.45455559982419014,0.4708432186056217,,,,,,,0.0008429557362132891,Popari,1
0.035281815124582346,-3.3443876000575297,0.07930102665244598,0.5346002678243142,0.5359095817289921,0.6666666666666666,0.5191378066373653,0.4476708074534162,0.27815703369471906,0.2718878680433028,,,,,,,0.001239013637238783,STAMP,1
0.032862012905941096,-3.4154379112211193,0.3431494488212681,0.4710924551837049,0.45649014634902074,0.5,0.5334008097162134,0.49206349206349204,0.7381734253691432,0.7399816541175579,,,,,,,0.0010934765291952357,MEFISTO,1
0.0068688741950265,-4.980755058807252,0.848505699508442,0.9153178720553945,0.8579962744446344,1.0,0.9642857142850504,0.9375,0.9683458337642568,0.9738979698882301,5.862788039718387,1.7686252651399972,3.761458261168782,1.3248067176303169,0.03687864460997223,-3.300122632325593,4.718143270710094e-05,stGP,2
0.024439600542591595,-3.71155048922346,0.6098036930651568,0.724878514944794,0.6546591289741193,0.6508928571428572,0.6708333333327379,0.5071428571428571,-0.07511465796850496,-0.06505480722637635,,,,,,,0.0005972940746814434,PCA,2
0.059181312793905386,-2.8271494491891085,-0.022630000382119375,0.31068841209905707,0.3002048881100875,0.19285714285714284,0.33333333333298604,0.21666666666666667,0.7036293266142141,0.6858673113517754,,,,,,,0.003502427784010069,NMF,2
0.016208161414383117,-4.122240372592581,0.6298131218968048,0.7918279445739198,0.6638414884483022,0.7491071428571429,0.8055555555549138,0.7075757575757576,0.14715956135772862,0.16463714598215778,,,,,,,0.00026095690085129906,SpatialPCA,2
0.023684687255669936,-3.7429265470140582,0.2534154589916725,0.6624194899883196,0.6627828215942391,0.6785714285714286,0.6500599212458222,0.5515151515151515,0.6148105713718617,0.593870576893476,,,,,,,0.000555918054934472,Popari,2
0.03407333857383306,-3.379240060509507,-0.028949643488326737,0.44443956806044876,0.4347694865594308,0.53125,0.49456811263275974,0.40572139303482585,0.30667039448918887,0.31706870244396573,,,,,,,0.001177922125700852,STAMP,2
0.021466779970844764,-3.8412486564089257,0.32331925777323334,0.6742387903440825,0.6372266791832901,0.7142857142857143,0.5852628020952347,0.5467171717171718,0.5323698949545894,0.5288495049447297,,,,,,,0.0004658681529613549,MEFISTO,2
0.009543376454959002,-4.651907930042677,0.7999553799500649,0.8962377849633352,0.8556713031167213,1.0,0.9722222222215471,0.95,0.9635405967027865,0.9743489129486771,6.154744127784617,1.8172231873319458,3.4846899785001053,1.2483790814319171,0.03296327201681942,-3.4123613065130822,9.107603416106584e-05,stGP,3
0.027864033302661052,-3.5804185507332105,0.5628769342831645,0.6910075380216915,0.5962326051915512,0.6761904761904762,0.6651515151508953,0.5214285714285715,0.09014260278007216,0.10219187570534946,,,,,,,0.0007764043518918042,PCA,3
0.06734926868791055,-2.6978632345676337,-0.07170048237325966,0.27507661451965637,0.2766206151247346,0.2130952380952381,0.2976190476187259,0.19166666666666665,0.6966842102523121,0.6893273212534954,,,,,,,0.004535923992796367,NMF,3
