method,rep,runtime
SpatialPCA,16,1.0151585396379232
Popari,16,1660.198827731423
STAMP,16,70.48469857499003
MEFISTO,16,320.8820505803451
stGP,17,5.557230312377214
PCA,17,0.032609387300908566
NMF,17,0.08820775058120489
SpatialPCA,17,0.9766555856913328
Popari,17,1531.9853256968781
STAMP,17,87.36991998553276
MEFISTO,17,557.743361656554
stGP,18,29.197290589101613
PCA,18,0.0335222315043211
NMF,18,0.27765706833451986
SpatialPCA,18,1.0712745497003198
Popari,18,937.7943580234423
STAMP,18,72.4820269336924
MEFISTO,18,566.6007768800482
stGP,19,3.100169038400054
PCA,19,0.08118738885968924
NMF,19,0.10199181735515594
SpatialPCA,19,1.0503041120246053
Popari,19,835.896665725857
STAMP,19,72.34637074265629
MEFISTO,19,542.8709769062698
stGP,20,7.1059282794594765
PCA,20,0.035695189610123634
NMF,20,0.21796340495347977
SpatialPCA,20,1.0839883862063289
Popari,20,742.4349548751488
STAMP,20,65.85311821475625
MEFISTO,20,251.85885206330568
stGP,21,3.7893616426736116
PCA,21,0.04210875742137432
NMF,21,0.12567411549389362
SpatialPCA,21,1.2235101042315364
Popari,21,731.2360792197287
STAMP,21,70.4617780726403
MEFISTO,21,245.70600239839405
stGP,22,3.5699647199362516
PCA,22,0.049251493997871876
NMF,22,0.18290606513619423
SpatialPCA,22,1.3573164325207472
Popari,22,737.887499182485
STAMP,22,91.10378887224942
MEFISTO,22,259.3767884578556
stGP,23,2.8933539539575577
PCA,23,0.04832092393189669
NMF,23,0.08030806668102741
SpatialPCA,23,1.3612757893279195
Popari,23,680.4487145477906
STAMP,23,58.06779993791133
MEFISTO,23,292.34994710050523
stGP,24,14.492815024219453
PCA,24,0.07162416260689497
NMF,24,0.0747329480946064
SpatialPCA,24,1.436115387827158
Popari,24,811.1931949788705
STAMP,24,75.58891337737441
MEFISTO,24,515.4293371355161
stGP,25,1.98364214040339
PCA,25,0.046668016351759434
NMF,25,0.12986226566135883
SpatialPCA,25,1.4120228430256248
Popari,25,722.8243414042518
STAMP,25,65.25481633748859
MEFISTO,25,336.5443441821262
stGP,26,2.5258357478305697
PCA,26,0.06652146484702826
NMF,26,0.1576993940398097
SpatialPCA,26,1.508707094937563
Popari,26,745.0615353155881
STAMP,26,59.415973647497594
MEFISTO,26,299.3930112272501
stGP,27,5.009448495693505
PCA,27,0.0561471888795495
NMF,27,0.09200901910662651
SpatialPCA,27,1.255772890523076
Popari,27,1068.535420211032
STAMP,27,76.58576294220984
MEFISTO,27,577.3001701738685
stGP,28,1.8996950294822454
PCA,28,0.03972236718982458
NMF,28,0.12281903997063637
SpatialPCA,28,1.8256509164348245
Popari,28,696.7639296781272
STAMP,28,72.28196599055082
MEFISTO,28,256.7936362819746
stGP,29,4.138948361389339
PCA,29,0.04880506172776222
NMF,29,0.13424281496554613
SpatialPCA,29,1.3612741865217686
Popari,29,1114.5799866346642
STAMP,29,69.91574547905475
MEFISTO,29,299.21861499361694
stGP,30,5.577997644431889
PCA,30,0.06365539319813251
NMF,30,0.10487137921154499
SpatialPCA,30,1.216397293843329
Popari,30,717.74580929894
STAMP,30,71.25615941453725
MEFISTO,30,281.76465532090515
stGP,31,60.135287716053426
PCA,31,0.06966149993240833
NMF,31,0.11649808939546347
SpatialPCA,31,1.248605977743864
Popari,31,880.9745491389185
STAMP,31,63.34479518327862
MEFISTO,31,521.2367871887982
stGP,32,1.9623743742704391
PCA,32,0.05068919714540243
NMF,32,0.1958121107891202
SpatialPCA,32,1.3420481234788895
Popari,32,879.1727066682652
STAMP,32,74.01303163543344
MEFISTO,32,279.13106160145253
stGP,33,35.20033039804548
PCA,33,0.03768018539994955
NMF,33,0.1550728715956211
SpatialPCA,33,1.3533088946714997
Popari,33,794.2318108901381
STAMP,33,58.80779754463583
MEFISTO,33,220.69872702565044
stGP,34,2.4949515564367175
PCA,34,0.06250071618705988
NMF,34,0.06859192159026861
SpatialPCA,34,1.515286423265934
Popari,34,771.5039479536936
STAMP,34,71.52305396925658
MEFISTO,34,516.5377787202597
stGP,35,2.4158219834789634
PCA,35,0.04610141459852457
NMF,35,0.12342769652605057
SpatialPCA,35,1.1995310001075268
Popari,35,734.9230630947277
STAMP,35,69.67447037436068
MEFISTO,35,230.42975899204612
