,volume,center_x,center_y,min_x,min_y,max_x,max_y,transcript_count,num_detected_genes,barcodeCount,mouse_id,slide_id,cohort,age,batch,celltype,region,subregion,bbox_area,n_genes_by_counts,total_counts,stGP_domain,clusterlabel,slingPseudotime_1,slingCurveWeight_1
3615378903930100432-97,1569.1582079392865,10016.755832690837,5841.518158458565,10010.675857466116,5832.387330057981,10022.236157789925,5853.429826573175,420,87,418.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L2/3,243.25757927833695,45,164.0,1,1,15.819414697437686,1.0
3615378903930100501-97,2295.114398941829,10051.507218647466,5889.114280395165,10042.193580050698,5879.968090033079,10061.09351454831,5898.924214147868,703,116,699.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,358.269504098138,63,290.0,1,1,15.877089940724586,1.0
3615378903930100512-97,2433.6990268182635,9968.545687320931,5894.895472473901,9960.082428655032,5884.929812007517,9978.06911642779,5904.972148764723,860,133,858.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,360.4952534883332,75,308.0,1,1,16.64623870742212,1.0
3615378903930100532-97,1466.6520785466437,10146.984274835066,5909.648347049318,10140.173114243711,5902.863842510486,10153.970874340454,5917.747917765445,442,98,442.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,205.3668996297789,49,130.0,1,1,15.55535991724029,1.0
3615378903930100540-97,1937.596405205876,10153.871941221938,5919.291297622679,10144.492543458098,5909.210387829257,10161.550412858824,5927.137744612243,527,115,525.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,305.80251070438294,60,191.0,1,1,15.015943917509684,1.0
3615378903930100584-97,2128.0278712708578,10095.95823938422,5952.155569550531,10087.24192385925,5945.173549629823,10105.066119620618,5959.969389674186,578,104,577.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,263.7239494046021,52,188.0,1,1,16.0346201634431,1.0
3615378903930100604-97,2258.8164155217314,10036.488775969368,5975.206842145746,10028.492093608686,5966.665317285503,10044.992396869997,5983.595298781299,366,99,362.0,97,B17,aging_coronal,32.6,B,Microglia,CTX,CTX_L4/5/6,279.34982888901897,46,102.0,1,1,16.023320659851585,1.0
3615378903940100038-97,760.2040015898413,10664.076231130704,5563.155077802753,10659.477106816135,5558.221355648921,10668.914969087296,5568.43109437301,330,85,329.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,96.35810790248519,48,123.0,3,3,6.667064493312061,1.0
3615378903940100045-97,1928.2531161969252,10291.12514560815,5569.12150957428,10282.926188292033,5562.216186424822,10301.142886799722,5577.657933799224,281,68,281.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,281.2976563513908,39,125.0,3,3,7.8274551084418915,1.0
3615378903940100060-97,2087.8700439340864,10625.705734120616,5574.64582771607,10616.51154697,5565.989648930874,10633.734458210149,5582.800665350802,735,120,735.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,289.534643657109,77,356.0,4,4,4.0615916318648635,1.0
3615378903940100078-97,999.6000284727032,10681.939994644634,5587.150057617641,10677.520122655667,5579.389126807279,10686.175859332569,5594.927554275399,336,84,330.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,134.496536537175,59,175.0,4,4,5.3086015542992575,1.0
3615378903940100088-97,1582.866533630914,10344.476786848058,5592.939729112666,10337.703963651378,5585.533026637484,10351.278278189217,5601.165148120527,411,95,409.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,212.19533390452747,55,156.0,3,3,7.595290137476453,1.0
3615378903940100113-97,1488.4504483042335,10662.277389856985,5608.832688624316,10655.130220432611,5601.852883954924,10669.305589891666,5615.021118858906,356,79,353.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,186.66459488757152,45,150.0,3,3,7.165012746349542,1.0
3615378903940100130-97,1247.7815611149915,10636.656790512718,5618.031985634866,10631.013522022846,5611.083682097594,10642.018601748458,5624.607179748923,288,67,287.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,148.8271698220019,40,132.0,4,4,5.747099886027029,1.0
3615378903940100165-97,2143.8073106549627,10563.118622303506,5646.616238196637,10556.855885853623,5635.656518508832,10569.82453679374,5656.917043192088,751,111,750.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,275.72032342087755,63,274.0,3,3,7.208772910421911,1.0
3615378903940100176-97,1845.415285098672,10440.050078696326,5650.453605667501,10432.51708723955,5642.128825801497,10447.721837322377,5658.933940059684,464,83,464.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,255.51756240906826,51,173.0,3,3,6.457055868432027,1.0
3615378903940100212-97,1426.05844122925,10564.359514323747,5676.427368684977,10557.682224161968,5669.350313326084,10571.329936938644,5683.606371118863,389,90,388.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,194.5625820835349,58,156.0,3,3,7.033896183421204,1.0
3615378903940100230-97,3543.4424308963435,10450.655432695916,5693.736413482641,10440.784410171233,5681.008405480114,10462.62569461958,5704.760525963275,716,98,712.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,518.7768197241575,58,336.0,4,4,5.351878812423305,1.0
3615378903940100237-97,1880.4854932037988,10504.037410413528,5691.448343710798,10496.690085805876,5683.730405399613,10514.5042640488,5701.430525041308,577,105,573.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,315.31308621824786,62,276.0,3,3,6.8568275839865604,1.0
3615378903940100246-97,734.7620111653895,10509.783825370068,5695.603749299961,10505.333150523518,5690.836299232208,10515.14226351707,5700.936039301942,482,99,481.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,99.06949154951819,58,149.0,4,4,5.251989798666494,1.0
3615378903940100252-97,2094.945345351935,10555.518435758118,5706.419533577129,10549.48269844981,5694.8783989766325,10562.79541217789,5715.764819053425,361,81,361.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,278.05493128673413,49,170.0,3,3,7.324896770984826,1.0
3615378903940100282-97,2673.678365273669,10375.97112625792,5726.247344301782,10367.644650277092,5716.46106616056,10383.733833795886,5736.082207253434,1210,133,1204.0,97,B17,aging_coronal,32.6,B,Microglia,CC/ACO,CC/ACO,315.6881398913937,82,428.0,3,3,8.03231557237359,1.0
